EngineType;CarNr;CarMake;CarModel;TD-GenartNr;TD-GenartDesc;K24-Kategorie;TD-ArtNr;PDM-ArtID;K24Number;Manufacturer;TD-ManufacturerNr
Full Hybrid;57560;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Full Hybrid;57560;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Full Hybrid;57560;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Full Hybrid;57560;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Full Hybrid;57560;BMW;3 (F30, F80);10018;Schmutzfänger, PKW;NULL;111 02 001 01 11;4712007;NULL;OES;2728
Full Hybrid;57560;BMW;3 (F30, F80);10018;Schmutzfänger, PKW;NULL;111 02 002 01 11;4712008;NULL;OES;2728
Full Hybrid;57560;BMW;3 (F30, F80);15821;Halteband, Heckklappe;Karosserie;316 02 167 01 11;4697931;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);4;Generator;Generator;440928;4674827;NULL;VAL;21
Full Hybrid;57561;BMW;3 (F30, F80);70;Bremsbackensatz;Bremsanlage;BB-7160;3107042;NULL;OPT;129
Full Hybrid;57561;BMW;3 (F30, F80);82;Bremsscheibe;Bremsanlage;61-00-0139C;4655556;NULL;ASH;257
Full Hybrid;57561;BMW;3 (F30, F80);82;Bremsscheibe;Bremsanlage;DI-0105C;4653192;NULL;JPP;156
Full Hybrid;57561;BMW;3 (F30, F80);82;Bremsscheibe;Bremsanlage;DI-0116C;4653204;NULL;JPP;156
Full Hybrid;57561;BMW;3 (F30, F80);82;Bremsscheibe;Bremsanlage;DI-0133C;4653221;NULL;JPP;156
Full Hybrid;57561;BMW;3 (F30, F80);82;Bremsscheibe;Bremsanlage;DP-0113C;4654100;NULL;JPP;156
Full Hybrid;57561;BMW;3 (F30, F80);82;Bremsscheibe;Bremsanlage;DP-0115C;4654102;NULL;JPP;156
Full Hybrid;57561;BMW;3 (F30, F80);82;Bremsscheibe;Bremsanlage;DP-0139C;4654128;NULL;JPP;156
Full Hybrid;57561;BMW;3 (F30, F80);83;Bremsschlauch;Bremsanlage;BSL-4301;3830106;NULL;OPT;129
Full Hybrid;57561;BMW;3 (F30, F80);83;Bremsschlauch;Bremsanlage;BSL-5078;3896881;NULL;OPT;129
Full Hybrid;57561;BMW;3 (F30, F80);124;Seilzug, Feststellbremse;Bremsanlage;HK-2821;4286304;NULL;OPT;129
Full Hybrid;57561;BMW;3 (F30, F80);183;Expansionsventil, Klimaanlage;Klimaanlage;DVE05022;4696599;NULL;DEN;66
Full Hybrid;57561;BMW;3 (F30, F80);214;Fußmatte;Innenausstattung;106 02 228 01 11;4693647;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);214;Fußmatte;Innenausstattung;113 02 244 01 11;4693812;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);214;Fußmatte;Innenausstattung;113 02 264 01 11;4693830;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);215;Fußmattensatz;Innenausstattung;PAL18-0096;4689906;NULL;ASU;442
Full Hybrid;57561;BMW;3 (F30, F80);215;Fußmattensatz;Innenausstattung;PAL18-5096;4691815;NULL;ASU;442
Full Hybrid;57561;BMW;3 (F30, F80);219;Gasfeder, Koffer-/Laderaum;Karosserie;8502727;4689463;NULL;KFT;4546
Full Hybrid;57561;BMW;3 (F30, F80);247;Lagerung, Motor;Motoraufhängung;53454;4686851;NULL;BIR;208
Full Hybrid;57561;BMW;3 (F30, F80);247;Lagerung, Motor;Motoraufhängung;537683;4686744;NULL;GSP;373
Full Hybrid;57561;BMW;3 (F30, F80);423;Innenraumleuchte;Beleuchtung;L04-470-0001LED;4672208;NULL;ABK;4657
Full Hybrid;57561;BMW;3 (F30, F80);444;Kolbenringsatz;Kurbeltrieb;081 RS 00111 0N1;4671322;NULL;MAH;287
Full Hybrid;57561;BMW;3 (F30, F80);467;Wärmetauscher, Innenraumheizung;Heizung/Lüftung;BW6615;4670052;NULL;AVC;247
Full Hybrid;57561;BMW;3 (F30, F80);514;Gasfeder, Motorhaube;Karosserie;8502725;4666498;NULL;KFT;4546
Full Hybrid;57561;BMW;3 (F30, F80);537;Filter, Scheibenwaschwasser;Scheibenreinigung;411 02 113 01 11;4666192;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);572;Wellendichtring, Kurbelwelle;Kurbeltrieb;V20-9812;4664773;NULL;VAI;162
Full Hybrid;57561;BMW;3 (F30, F80);654;Radlagersatz;Radaufhängung;KWD1061;4662241;NULL;DAY;42
Full Hybrid;57561;BMW;3 (F30, F80);654;Radlagersatz;Radaufhängung;KWD1103;4662283;NULL;DAY;42
Full Hybrid;57561;BMW;3 (F30, F80);1276;Nockenwellenlager;Motorsteuerung;313 02 052 01 11;4702956;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);1361;Türschloss;Schließanlage;3100695;4701431;NULL;HFF;341
Full Hybrid;57561;BMW;3 (F30, F80);1373;Türgriff;Schließanlage;H206055;4701333;NULL;HFF;341
Full Hybrid;57561;BMW;3 (F30, F80);1389;Steuerkettensatz;Motorsteuerung;70035Set;4699418;NULL;AIC;1368
Full Hybrid;57561;BMW;3 (F30, F80);2232;Radsensor, Reifendruck-Kontrollsystem;Räder;412 02 612 01 22;4689322;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);2755;Verschlussschraube, Achsgetriebe;Achsantrieb;100 02 095 01 11;4684792;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);3224;Motoröl;Schmierung;MN7907-4;4696235;NULL;SCT;225
Full Hybrid;57561;BMW;3 (F30, F80);3229;Stange/Strebe, Stabilisator;Radaufhängung;4302523;4680073;NULL;KFT;4546
Full Hybrid;57561;BMW;3 (F30, F80);3229;Stange/Strebe, Stabilisator;Radaufhängung;4302526;4680074;NULL;KFT;4546
Full Hybrid;57561;BMW;3 (F30, F80);3229;Stange/Strebe, Stabilisator;Radaufhängung;4302759;4680075;NULL;KFT;4546
Full Hybrid;57561;BMW;3 (F30, F80);3229;Stange/Strebe, Stabilisator;Radaufhängung;4302761;4680076;NULL;KFT;4546
Full Hybrid;57561;BMW;3 (F30, F80);3356;Frostschutz;Kühlung;111 02 272 01 11;4679256;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);3793;Batterieadapter;Startanlage;H241028;4677959;NULL;HFF;341
Full Hybrid;57561;BMW;3 (F30, F80);3826;Steuerventil, Nockenwellenverstellung;Motorsteuerung;70050;4677872;NULL;AIC;1368
Full Hybrid;57561;BMW;3 (F30, F80);3947;Sensor, Saugrohrdruck;Gemischaufbereitung;0906431;4675466;NULL;MEZ;94
Full Hybrid;57561;BMW;3 (F30, F80);3977;Buchse, Zylinderkopfhaube;Zylinderkopf;08.10.067;4675003;NULL;TRT;209
Full Hybrid;57561;BMW;3 (F30, F80);4844;Halter, Sensor-Einparkhilfe;Komfortsysteme;BM0281350;4668651;NULL;PRA;340
Full Hybrid;57561;BMW;3 (F30, F80);4921;Teilesatz, Ölwechsel-Automatikgetriebe;Service/Wartung;105.111.0018;4668487;NULL;TCA;4342
Full Hybrid;57561;BMW;3 (F30, F80);4921;Teilesatz, Ölwechsel-Automatikgetriebe;Service/Wartung;105.111.0030;4668498;NULL;TCA;4342
Full Hybrid;57561;BMW;3 (F30, F80);4921;Teilesatz, Ölwechsel-Automatikgetriebe;Service/Wartung;105.111.1018;4668521;NULL;TCA;4342
Full Hybrid;57561;BMW;3 (F30, F80);4921;Teilesatz, Ölwechsel-Automatikgetriebe;Service/Wartung;105.111.1030;4668532;NULL;TCA;4342
Full Hybrid;57561;BMW;3 (F30, F80);4921;Teilesatz, Ölwechsel-Automatikgetriebe;Service/Wartung;105.111.2018;4668555;NULL;TCA;4342
Full Hybrid;57561;BMW;3 (F30, F80);4921;Teilesatz, Ölwechsel-Automatikgetriebe;Service/Wartung;105.111.2030;4668566;NULL;TCA;4342
Full Hybrid;57561;BMW;3 (F30, F80);4967;Multifunktionsrelais;Bordnetz;412 02 608 01 11;4668070;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Full Hybrid;57561;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Full Hybrid;57561;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Full Hybrid;57561;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Full Hybrid;57561;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Full Hybrid;57561;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Full Hybrid;57561;BMW;3 (F30, F80);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Full Hybrid;57561;BMW;3 (F30, F80);10018;Schmutzfänger, PKW;NULL;111 02 001 01 11;4712007;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);10018;Schmutzfänger, PKW;NULL;111 02 002 01 11;4712008;NULL;OES;2728
Full Hybrid;57561;BMW;3 (F30, F80);15821;Halteband, Heckklappe;Karosserie;316 02 167 01 11;4697931;NULL;OES;2728
Full Hybrid;57785;CHEVROLET;SILVERADO 2500;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Full Hybrid;57785;CHEVROLET;SILVERADO 2500;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Full Hybrid;57785;CHEVROLET;SILVERADO 2500;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Full Hybrid;57785;CHEVROLET;SILVERADO 2500;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Full Hybrid;57785;CHEVROLET;SILVERADO 2500;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Full Hybrid;57785;CHEVROLET;SILVERADO 2500;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Full Hybrid;57785;CHEVROLET;SILVERADO 2500;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Full Hybrid;58353;TOYOTA;AVALON Stufenheck (_X4_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Full Hybrid;58353;TOYOTA;AVALON Stufenheck (_X4_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Full Hybrid;58353;TOYOTA;AVALON Stufenheck (_X4_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Full Hybrid;58353;TOYOTA;AVALON Stufenheck (_X4_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Full Hybrid;58353;TOYOTA;AVALON Stufenheck (_X4_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Full Hybrid;58353;TOYOTA;AVALON Stufenheck (_X4_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Full Hybrid;58353;TOYOTA;AVALON Stufenheck (_X4_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Full Hybrid;58646;PEUGEOT;508 I (8D_);1;Starterbatterie;Startanlage;949 06 866 01 11;4712204;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);2;Starter;Startanlage;465 27 016 01 11;4694641;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);8;Luftfilter;Luftversorgung;18300;4658282;NULL;HFF;341
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;24012802691-SET-MS;4656113;NULL;MSP;358
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;315 27 458 01 11;4656155;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;315 27 471 01 11;4656167;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;315 27 478 01 11;4656174;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;315 27 479 01 11;4656175;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;DI-0600C;4653465;NULL;JPP;156
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;DI-0633C;4653497;NULL;JPP;156
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;DI-0634C;4653498;NULL;JPP;156
Full Hybrid;58646;PEUGEOT;508 I (8D_);82;Bremsscheibe;Bremsanlage;DP-0605C;4654249;NULL;JPP;156
Full Hybrid;58646;PEUGEOT;508 I (8D_);214;Fußmatte;Innenausstattung;106 27 199 01 11;4693739;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);215;Fußmattensatz;Innenausstattung;PAL18-1288;4691098;NULL;ASU;442
Full Hybrid;58646;PEUGEOT;508 I (8D_);215;Fußmattensatz;Innenausstattung;PAL18-6288;4693007;NULL;ASU;442
Full Hybrid;58646;PEUGEOT;508 I (8D_);243;Glühkerze;Glühanlage;415 27 467 01 11;4687286;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);273;Lenker, Radaufhängung;Radaufhängung;G5-2100;4685637;NULL;OPT;129
Full Hybrid;58646;PEUGEOT;508 I (8D_);273;Lenker, Radaufhängung;Radaufhängung;G5-2101;4685638;NULL;OPT;129
Full Hybrid;58646;PEUGEOT;508 I (8D_);273;Lenker, Radaufhängung;Radaufhängung;G6-2086S;4685659;NULL;OPT;129
Full Hybrid;58646;PEUGEOT;508 I (8D_);273;Lenker, Radaufhängung;Radaufhängung;G6-2087S;4685660;NULL;OPT;129
Full Hybrid;58646;PEUGEOT;508 I (8D_);289;Nebelscheinwerfer;Beleuchtung;410 27 511 01 11;4683349;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);305;Keilrippenriemen;Riementrieb;6PK1080XL;4682532;NULL;LU;4501
Full Hybrid;58646;PEUGEOT;508 I (8D_);310;Spannrolle, Keilrippenriemen;Riementrieb;310 27 476 01 11;4682018;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);317;Dichtung, Thermostatgehäuse;Kühlung;313 27 097 01 11;4680876;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);402;Bremsbelagsatz, Scheibenbremse;Bremsanlage;13046027612T-SET-MS;4673575;NULL;MSP;358
Full Hybrid;58646;PEUGEOT;508 I (8D_);402;Bremsbelagsatz, Scheibenbremse;Bremsanlage;315 27 119 01 11;4674105;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);444;Kolbenringsatz;Kurbeltrieb;039 RS 00117 0N2;4671319;NULL;MAH;287
Full Hybrid;58646;PEUGEOT;508 I (8D_);470;Kühler, Motorkühlung;Kühlung;1556079;4669578;NULL;KFT;4546
Full Hybrid;58646;PEUGEOT;508 I (8D_);514;Gasfeder, Motorhaube;Karosserie;8505635;4666518;NULL;KFT;4546
Full Hybrid;58646;PEUGEOT;508 I (8D_);531;Motorhaube;Karosserie;316 27 495 01 11;4666255;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);542;Keilrippenriemensatz;Riementrieb;310 27 472 01 11;4665918;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);654;Radlagersatz;Radaufhängung;KWD1087;4662267;NULL;DAY;42
Full Hybrid;58646;PEUGEOT;508 I (8D_);1209;Einparkhilfe;Komfortsysteme;412 27 074 01 11;4709244;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);1260;Wasserpumpe;Kühlung;570140N;4707439;NULL;DAS;80
Full Hybrid;58646;PEUGEOT;508 I (8D_);1263;Zylinderkopf;Zylinderkopf;908295;4705961;NULL;AMC;277
Full Hybrid;58646;PEUGEOT;508 I (8D_);1263;Zylinderkopf;Zylinderkopf;908995K;4706790;NULL;AMC;277
Full Hybrid;58646;PEUGEOT;508 I (8D_);1362;Heckklappenschloss;Schließanlage;410 27 144 01 11;4701366;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);1373;Türgriff;Schließanlage;16SKV238;4701328;NULL;ESN;4969
Full Hybrid;58646;PEUGEOT;508 I (8D_);2065;Mutter, Achsstummel;Radaufhängung;100 27 389 01 11;4694394;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);2234;Lader, Aufladung;Luftversorgung;221900260;4688936;NULL;TBI;4885
Full Hybrid;58646;PEUGEOT;508 I (8D_);2462;Trag-/Führungsgelenk;Radaufhängung;G3-2025S;4687090;NULL;OPT;129
Full Hybrid;58646;PEUGEOT;508 I (8D_);2462;Trag-/Führungsgelenk;Radaufhängung;JBJ404;4687183;NULL;TRW;161
Full Hybrid;58646;PEUGEOT;508 I (8D_);3015;Wellendichtring, Antriebswelle;Radantrieb;313 27 123 01 11;4682657;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);3096;Wasserpumpe + Zahnriemensatz;Kühlung;300 27 038 01 11;4682106;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);3096;Wasserpumpe + Zahnriemensatz;Kühlung;BTW1072;4682110;NULL;B+B;475
Full Hybrid;58646;PEUGEOT;508 I (8D_);3229;Stange/Strebe, Stabilisator;Radaufhängung;4305724;4680091;NULL;KFT;4546
Full Hybrid;58646;PEUGEOT;508 I (8D_);3229;Stange/Strebe, Stabilisator;Radaufhängung;43249 01;4680223;NULL;LEF;35
Full Hybrid;58646;PEUGEOT;508 I (8D_);3229;Stange/Strebe, Stabilisator;Radaufhängung;G7-2054;4680111;NULL;OPT;129
Full Hybrid;58646;PEUGEOT;508 I (8D_);3739;Ölleitung, Lader;Luftversorgung;935117;4678104;NULL;NIS;123
Full Hybrid;58646;PEUGEOT;508 I (8D_);3893;Dichtung, Einspritzpumpe;Gemischaufbereitung;920 06 973 01 11;4677748;NULL;OES;2728
Full Hybrid;58646;PEUGEOT;508 I (8D_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Full Hybrid;58646;PEUGEOT;508 I (8D_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Full Hybrid;58646;PEUGEOT;508 I (8D_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Full Hybrid;58646;PEUGEOT;508 I (8D_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Full Hybrid;58646;PEUGEOT;508 I (8D_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Full Hybrid;58646;PEUGEOT;508 I (8D_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Full Hybrid;58646;PEUGEOT;508 I (8D_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Full Hybrid;58738;LEXUS;ES (_V6_);247;Lagerung, Motor;Motoraufhängung;TM-AVV50F;4686751;NULL;FBT;4674
Full Hybrid;58738;LEXUS;ES (_V6_);402;Bremsbelagsatz, Scheibenbremse;Bremsanlage;13046057652N-SET-MS;4673594;NULL;MSP;358
Full Hybrid;58738;LEXUS;ES (_V6_);654;Radlagersatz;Radaufhängung;803151;4662145;NULL;AUX;300
Full Hybrid;58738;LEXUS;ES (_V6_);3922;Lambdasonde;Gemischaufbereitung;7481535E;4676732;NULL;HFF;341
Full Hybrid;58738;LEXUS;ES (_V6_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Full Hybrid;58738;LEXUS;ES (_V6_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Full Hybrid;58738;LEXUS;ES (_V6_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Full Hybrid;58738;LEXUS;ES (_V6_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Full Hybrid;58738;LEXUS;ES (_V6_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Full Hybrid;58738;LEXUS;ES (_V6_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Full Hybrid;58738;LEXUS;ES (_V6_);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Full Hybrid;58960;BMW;5 (F10);7;Ölfilter;Schmierung;BFO4104HD;4660915;NULL;B+B;475
Full Hybrid;58960;BMW;5 (F10);8;Luftfilter;Luftversorgung;BFA2430HD;4657569;NULL;B+B;475
Full Hybrid;58960;BMW;5 (F10);8;Luftfilter;Luftversorgung;FA-0110JM;4658046;NULL;ASH;257
Full Hybrid;58960;BMW;5 (F10);8;Luftfilter;Luftversorgung;FA-0110JM;4657448;NULL;JPP;156
Full Hybrid;58960;BMW;5 (F10);52;Batterieaufnahme;Karosserie;H241029;4666308;NULL;HFF;341
Full Hybrid;58960;BMW;5 (F10);82;Bremsscheibe;Bremsanlage;60-00-0139C;4654657;NULL;ASH;257
Full Hybrid;58960;BMW;5 (F10);82;Bremsscheibe;Bremsanlage;DI-0131C;4653219;NULL;JPP;156
Full Hybrid;58960;BMW;5 (F10);82;Bremsscheibe;Bremsanlage;DI-0132C;4653220;NULL;JPP;156
Full Hybrid;58960;BMW;5 (F10);82;Bremsscheibe;Bremsanlage;DI-0139C;4653227;NULL;JPP;156
Full Hybrid;58960;BMW;5 (F10);82;Bremsscheibe;Bremsanlage;DP-0123C;4654111;NULL;JPP;156
Full Hybrid;58960;BMW;5 (F10);82;Bremsscheibe;Bremsanlage;DP-0124C;4654112;NULL;JPP;156
Full Hybrid;58960;BMW;5 (F10);83;Bremsschlauch;Bremsanlage;40231000;4652786;NULL;TEX;39
Full Hybrid;58960;BMW;5 (F10);83;Bremsschlauch;Bremsanlage;BSL-5035;3896834;NULL;OPT;129
Full Hybrid;58960;BMW;5 (F10);83;Bremsschlauch;Bremsanlage;BSL-5052;3896853;NULL;OPT;129
Full Hybrid;58960;BMW;5 (F10);214;Fußmatte;Innenausstattung;113 02 250 01 11;4693818;NULL;OES;2728
Full Hybrid;58960;BMW;5 (F10);214;Fußmatte;Innenausstattung;113 02 253 01 11;4693820;NULL;OES;2728
Full Hybrid;58960;BMW;5 (F10);214;Fußmatte;Innenausstattung;113 02 286 01 11;4693850;NULL;OES;2728
Full Hybrid;58960;BMW;5 (F10);215;Fußmattensatz;Innenausstattung;PAL18-0106;4689916;NULL;ASU;442
Full Hybrid;58960;BMW;5 (F10);215;Fußmattensatz;Innenausstattung;PAL18-5106;4691825;NULL;ASU;442
Full Hybrid;58960;BMW;5 (F10);273;Lenker, Radaufhängung;Radaufhängung;BR2714;4685085;NULL;BIR;208
Full Hybrid;58960;BMW;5 (F10);273;Lenker, Radaufhängung;Radaufhängung;S062966;4685353;NULL;GSP;373
Full Hybrid;58960;BMW;5 (F10);273;Lenker, Radaufhängung;Radaufhängung;S062967;4685354;NULL;GSP;373
Full Hybrid;58960;BMW;5 (F10);273;Lenker, Radaufhängung;Radaufhängung;S063030;4685394;NULL;GSP;373
Full Hybrid;58960;BMW;5 (F10);407;Warnkontakt, Bremsbelagverschleiß;Bremsanlage;FWI334;4673284;NULL;JUR;48
Full Hybrid;58960;BMW;5 (F10);423;Innenraumleuchte;Beleuchtung;L04-470-0001LED;4672208;NULL;ABK;4657
Full Hybrid;58960;BMW;5 (F10);424;Filter, Innenraumluft;Heizung/Lüftung;BFC1160HD;4671988;NULL;B+B;475
Full Hybrid;58960;BMW;5 (F10);444;Kolbenringsatz;Kurbeltrieb;081 RS 00111 0N1;4671322;NULL;MAH;287
Full Hybrid;58960;BMW;5 (F10);470;Kühler, Motorkühlung;Kühlung;1552707;4669558;NULL;KFT;4546
Full Hybrid;58960;BMW;5 (F10);514;Gasfeder, Motorhaube;Karosserie;8502557;4666490;NULL;KFT;4546
Full Hybrid;58960;BMW;5 (F10);537;Filter, Scheibenwaschwasser;Scheibenreinigung;411 02 113 01 11;4666192;NULL;OES;2728
Full Hybrid;58960;BMW;5 (F10);572;Wellendichtring, Kurbelwelle;Kurbeltrieb;V20-9812;4664773;NULL;VAI;162
Full Hybrid;58960;BMW;5 (F10);593;Verschlussschraube, Ölwanne;Schmierung;40504;4663992;NULL;BIR;208
Full Hybrid;58960;BMW;5 (F10);593;Verschlussschraube, Ölwanne;Schmierung;40510;4663998;NULL;BIR;208
Full Hybrid;58960;BMW;5 (F10);654;Radlagersatz;Radaufhängung;KWD1151;4662330;NULL;DAY;42
Full Hybrid;58960;BMW;5 (F10);654;Radlagersatz;Radaufhängung;KWD1174;4662353;NULL;DAY;42
Full Hybrid;58960;BMW;5 (F10);914;Spurstangenkopf;Lenkung;RD4697;4650085;NULL;BIR;208
Full Hybrid;58960;BMW;5 (F10);914;Spurstangenkopf;Lenkung;RS4697;4650103;NULL;BIR;208
Full Hybrid;58960;BMW;5 (F10);1276;Nockenwellenlager;Motorsteuerung;313 02 052 01 11;4702956;NULL;OES;2728
Full Hybrid;58960;BMW;5 (F10);1289;Sensor, Motorölstand;Schmierung;7532223;4702909;NULL;HFF;341
Full Hybrid;58960;BMW;5 (F10);1361;Türschloss;Schließanlage;3100694;4701430;NULL;HFF;341
Full Hybrid;58960;BMW;5 (F10);1361;Türschloss;Schließanlage;3100695;4701431;NULL;HFF;341
Full Hybrid;58960;BMW;5 (F10);1373;Türgriff;Schließanlage;H206055;4701333;NULL;HFF;341
